2019-12-31 23:59:59	0.06%	Wuhan MHC released a briefing about the pneumonia outbreak in the city
2020-01-05 23:59:59	0.09%	Wuhan MHC reported 59 cases of viral pneumonia of unknown cause
2020-01-19 23:59:59	0.31%	Growth phases begin
2020-01-20 16:37:17	1%
2020-01-20 23:59:59	1.89%	The National Health Commission (NHC)  confirmed human-to-human transmission
2020-01-21 00:36:13	2%
2020-01-21 10:29:40	3%
2020-01-21 13:04:33	4%
2020-01-21 16:07:21	5%
2020-01-21 19:19:31	6%
2020-01-21 21:53:57	7%
2020-01-22 00:27:37	8%
2020-01-22 09:01:34	9%
2020-01-22 10:34:39	10%
2020-01-22 11:53:46	11%
2020-01-22 13:17:47	12%
2020-01-22 14:58:42	13%
2020-01-22 16:56:52	14%
2020-01-22 18:58:46	15%
2020-01-22 20:49:47	16%
2020-01-22 22:42:06	17%
2020-01-23 01:13:51	18%
2020-01-23 09:08:58	19%
2020-01-23 11:12:27	20%
2020-01-23 12:59:38	21%
2020-01-23 14:41:20	22%
2020-01-23 16:23:17	23%
2020-01-23 18:08:23	24%
2020-01-23 19:49:38	25%
2020-01-23 21:30:38	26%
2020-01-23 23:06:44	27%
2020-01-23 23:59:59	27.46%	Wuhan lockdown
2020-01-24 02:34:13	28%
2020-01-24 10:15:08	29%
2020-01-24 12:53:16	30%
2020-01-24 15:38:25	31%
2020-01-24 18:48:53	32%
2020-01-24 23:10:56	33%
2020-01-24 23:59:59	33.31%	Hubei activated first-level public health emergency response mechanism
2020-01-25 03:16:17	34%
2020-01-25 10:24:22	35%
2020-01-25 12:05:03	36%
2020-01-25 13:27:48	37%
2020-01-25 14:50:47	38%
2020-01-25 16:15:43	39%
2020-01-25 17:31:48	40%
2020-01-25 18:40:46	41%
2020-01-25 19:42:33	42%
2020-01-25 20:43:55	43%
2020-01-25 21:47:55	44%
2020-01-25 22:57:48	45%
2020-01-25 23:59:59	45.64%	30 provincial-level regions of China all activated first-level public health emergency response mechanism
2020-01-26 01:05:00	46%
2020-01-26 09:11:57	47%
2020-01-26 10:52:13	48%
2020-01-26 12:13:35	49%
2020-01-26 13:40:32	50%
2020-01-26 15:19:26	51%
2020-01-26 17:01:09	52%
2020-01-26 18:44:38	53%
2020-01-26 20:23:31	54%
2020-01-26 21:59:27	55%
2020-01-26 23:57:24	56%
2020-01-27 09:16:28	57%
2020-01-27 11:46:51	58%
2020-01-27 14:04:39	59%
2020-01-27 16:32:03	60%
2020-01-27 18:56:16	61%
2020-01-27 21:06:32	62%
2020-01-27 23:44:35	63%
2020-01-27 23:59:59	63.06%	China's State Council announced plans to extend the Lunar New Year holiday to Feb 2 as a key measure to control the novel coronavirus outbreak.
2020-01-28 10:06:07	64%
2020-01-28 12:49:45	65%
2020-01-28 15:38:27	66%
2020-01-28 18:23:16	67%
2020-01-28 20:53:33	68%
2020-01-28 23:57:45	69%
2020-01-29 10:56:34	70%
2020-01-29 14:38:59	71%
2020-01-29 18:25:41	72%
2020-01-29 21:46:50	73%
2020-01-30 09:03:50	74%
2020-01-30 13:46:12	75%
2020-01-30 18:13:54	76%
2020-01-30 21:58:50	77%
2020-01-31 10:00:05	78%
2020-01-31 14:41:35	79%
2020-01-31 19:14:42	80%
2020-01-31 23:31:35	81%
2020-01-31 23:59:59	81.09%	The World Health Organization (WHO) declared the novel coronavirus outbreak (2019-nCoV) a Public Health Emergency of International Concern (PHEIC). 
2020-02-01 12:01:57	82%
2020-02-01 17:21:51	83%
2020-02-01 22:17:59	84%
2020-02-02 11:06:50	85%
2020-02-02 16:14:30	86%
2020-02-02 21:11:52	87%
2020-02-02 23:59:59	87.49%	Wuhan implemented a policy of centralized treatment and quarantine strategies
2020-02-03 11:33:38	88%
2020-02-03 22:23:43	89%
2020-02-03 23:59:59	89.12%	The emergency makeshift hospital, Huoshenshan hospital, opened and a number of large Fangcang shelter hospitals  were announced be built
2020-02-04 19:48:43	90%
2020-02-05 17:48:03	91%
2020-02-06 15:22:33	92%
2020-02-07 14:42:29	93%
2020-02-08 15:00:02	94%
2020-02-09 17:49:55	95%
